url,status_code,title,description,price,rating,availability,stored_at
https://www.amazon.com/Logitech-Wireless-Keyboard-SilentTouch-Technology/dp/B089KV4YYX,200,"Amazon.com: Logitech MK295 Wireless Mouse & Keyboard Combo with SilentTouch Technology, Full Numpad, Advanced Optical Tracking, Lag-Free Wireless, 90% Less Noise - Graphite : Everything Else","Buy Logitech MK295 Wireless Mouse & Keyboard Combo with SilentTouch Technology, Full Numpad, Advanced Optical Tracking, Lag-Free Wireless, 90% Less Noise - Graphite: Everything Else - Amazon.com ✓ FREE DELIVERY possible on eligible purchases",No Price Found,4.5 out of 5 stars,In Stock,2024-06-10T09:25:44+02:00
https://www.amazon.com/dp/B07XQXZXJC,200,"Amazon.com: Xbox One S All Digital Edition Console Bundle w/Fortnite exclusive - Downloads for Minecraft, SOT, & Fornite Battle Royale - 1TB Hard Drive Capacity - Enjoy disc-free gaming - Includes 1 Month tr : Video Games","Amazon.com: Xbox One S All Digital Edition Console Bundle w/Fortnite exclusive - Downloads for Minecraft, SOT, & Fornite Battle Royale - 1TB Hard Drive Capacity - Enjoy disc-free gaming - Includes 1 Month tr : Video Games",No Price Found,4.7 out of 5 stars,Only 1 left in stock - order soon.,2024-06-10T09:25:42+02:00
